z_p,offset,phi_deg,rho,eta,N,axis,pool,sigma_cov,sigma_cov_strip,sigma_rad,sigma_tan,sigma_emp,err_mean,pull_mean,pull_std,corr_t_zp,cx_true,cy_true,cx_fit,cy_fit,cx_fit_std,cy_fit_std
0,300,90,0,0,100,y,2971,0.435592,0.150894,0.435592,0.396921,0.419477,-0.451979,-1.03046,0.960175,-0.42519,495,795,494.847,794.548,0.447952,0.419477
0,300,90,0,0,100,z,2971,0.844729,0.292623,0.435592,0.396921,0.781984,0.542357,0.63975,0.926289,1,495,795,494.847,794.548,0.447952,0.419477
0,300,90,0,0,300,x,2971,0.227766,0.0789004,0.252698,0.227766,0.213227,-0.225222,-0.988246,0.934556,-0.00685788,495,795,494.775,794.459,0.213227,0.285017
0,300,90,0,0,300,y,2971,0.252698,0.0875373,0.252698,0.227766,0.285017,-0.540994,-2.1363,1.11452,-0.444366,495,795,494.775,794.459,0.213227,0.285017
0,300,90,0,0,300,z,2971,0.488018,0.169054,0.252698,0.227766,0.326771,0.923438,1.89139,0.671718,1,495,795,494.775,794.459,0.213227,0.285017
300,0,0,0.375,0,30,x,5200,0.631104,0.218621,0.631104,0.636063,0.747917,-0.222044,-0.353167,1.18948,-0.0100305,495,495,494.778,494.876,0.747917,0.779312
300,0,0,0.375,0,30,y,5200,0.636063,0.220339,0.631104,0.636063,0.779312,-0.12394,-0.199301,1.22766,0.0835224,495,495,494.778,494.876,0.747917,0.779312
300,0,0,0.375,0,30,z,5200,0.974501,0.337577,0.631104,0.636063,1.1191,0.0376733,0.0431585,1.14827,1,495,495,494.778,494.876,0.747917,0.779312
300,0,0,0.375,0,100,x,5200,0.340592,0.117985,0.340592,0.340515,0.338402,-0.227902,-0.66943,0.992111,0.000980154,495,495,494.772,494.658,0.338402,0.380372
300,0,0,0.375,0,100,y,5200,0.340515,0.117958,0.340592,0.340515,0.380372,-0.341554,-1.00186,1.1166,0.00564621,495,495,494.772,494.658,0.338402,0.380372
300,0,0,0.375,0,100,z,5200,0.517984,0.179435,0.340592,0.340515,0.514633,0.0385507,0.0747966,0.984259,1,495,495,494.772,494.658,0.338402,0.380372
300,0,0,0.375,0,300,x,5200,0.196186,0.0679608,0.196186,0.196195,0.174651,-0.13039,-0.663978,0.889503,0.010658,495,495,494.87,494.666,0.174651,0.180137
300,0,0,0.375,0,300,y,5200,0.196195,0.0679638,0.196186,0.196195,0.180137,-0.334153,-1.70369,0.919502,0.00488623,495,495,494.87,494.666,0.174651,0.180137
300,0,0,0.375,0,300,z,5200,0.301821,0.104554,0.196186,0.196195,0.382991,0.0330789,0.122785,1.25269,1,495,495,494.87,494.666,0.174651,0.180137
300,150,0,0.375,0.40404,30,x,4806,0.636312,0.220425,0.636312,0.631047,0.527035,0.160876,0.251907,0.833136,-0.151969,645,495,645.161,494.698,0.527035,0.692271
300,150,0,0.375,0.40404,30,y,4806,0.631047,0.218601,0.636312,0.631047,0.692271,-0.302385,-0.491814,1.09345,0.0593269,645,495,645.161,494.698,0.527035,0.692271
300,150,0,0.375,0.40404,30,z,4806,1.0337,0.358084,0.636312,0.631047,1.20803,-0.0240508,-0.00789322,1.17664,1,645,495,645.161,494.698,0.527035,0.692271
300,150,0,0.375,0.40404,100,x,4806,0.342966,0.118807,0.342966,0.342653,0.314704,-0.222563,-0.65002,0.921821,-0.109544,645,495,644.777,494.799,0.314704,0.406618
300,150,0,0.375,0.40404,100,y,4806,0.342653,0.118698,0.342966,0.342653,0.406618,-0.201295,-0.590114,1.18996,0.00269817,645,495,644.777,494.799,0.314704,0.406618
300,150,0,0.375,0.40404,100,z,4806,0.559516,0.193822,0.342966,0.342653,0.799756,0.233749,0.406383,1.41008,1,645,495,644.777,494.799,0.314704,0.406618
300,150,0,0.375,0.40404,300,x,4806,0.197159,0.0682977,0.197159,0.196743,0.204648,-0.114851,-0.582674,1.03729,-0.101768,645,495,644.885,494.774,0.204648,0.268673
300,150,0,0.375,0.40404,300,y,4806,0.196743,0.0681538,0.197159,0.196743,0.268673,-0.225766,-1.14749,1.36619,-0.00671772,645,495,644.885,494.774,0.204648,0.268673
300,150,0,0.375,0.40404,300,z,4806,0.317367,0.109939,0.197159,0.196743,0.398304,0.165382,0.523784,1.25024,1,645,495,644.885,494.774,0.204648,0.268673
300,150,45,0.375,0.40404,30,x,4976,0.63334,0.219395,0.635634,0.631656,0.72679,0.0564194,0.0963471,1.15168,-0.109463,601.066,601.066,601.122,600.856,0.72679,0.556038
300,150,45,0.375,0.40404,30,y,4976,0.633984,0.219619,0.635634,0.631656,0.556038,-0.209645,-0.330664,0.874823,-0.0831208,601.066,601.066,601.122,600.856,0.72679,0.556038
300,150,45,0.375,0.40404,30,z,4976,1.02001,0.353343,0.635634,0.631656,1.1628,0.360462,0.376785,1.16277,1,601.066,601.066,601.122,600.856,0.72679,0.556038
300,150,45,0.375,0.40404,100,x,4976,0.342124,0.118515,0.342503,0.341262,0.498132,-0.298268,-0.873241,1.46019,-0.0823041,601.066,601.066,600.768,600.756,0.498132,0.376576
300,150,45,0.375,0.40404,100,y,4976,0.341645,0.118349,0.342503,0.341262,0.376576,-0.310495,-0.907821,1.09752,-0.0870965,601.066,601.066,600.768,600.756,0.498132,0.376576
300,150,45,0.375,0.40404,100,z,4976,0.544517,0.188626,0.342503,0.341262,0.683036,0.3197,0.603108,1.26775,1,601.066,601.066,600.768,600.756,0.498132,0.376576
300,150,45,0.375,0.40404,300,x,4976,0.197409,0.0683843,0.197716,0.196695,0.16752,-0.240195,-1.21769,0.849958,-0.103397,601.066,601.066,600.826,600.818,0.16752,0.154309
300,150,45,0.375,0.40404,300,y,4976,0.197005,0.0682446,0.197716,0.196695,0.154309,-0.247542,-1.25699,0.784521,-0.0871848,601.066,601.066,600.826,600.818,0.16752,0.154309
300,150,45,0.375,0.40404,300,z,4976,0.315408,0.10926,0.197716,0.196695,0.304061,0.173254,0.552251,0.965329,1,601.066,601.066,600.826,600.818,0.16752,0.154309
300,150,90,0.375,0.40404,30,x,4991,0.634041,0.219638,0.634466,0.634041,0.685773,-0.0672166,-0.113392,1.072,0.0232672,495,645,494.933,644.651,0.685773,0.665843
300,150,90,0.375,0.40404,30,y,4991,0.634466,0.219785,0.634466,0.634041,0.665843,-0.349438,-0.550618,1.04274,-0.118098,495,645,494.933,644.651,0.685773,0.665843
300,150,90,0.375,0.40404,30,z,4991,1.02162,0.353899,0.634466,0.634041,0.973235,0.273205,0.277589,0.962694,1,495,645,494.933,644.651,0.685773,0.665843
300,150,90,0.375,0.40404,100,x,4991,0.341896,0.118436,0.343735,0.341896,0.343435,-0.14651,-0.427724,1.00294,0.00875673,495,645,494.853,644.767,0.343435,0.391092
300,150,90,0.375,0.40404,100,y,4991,0.343735,0.119073,0.343735,0.341896,0.391092,-0.233144,-0.68093,1.14322,-0.12405,495,645,494.853,644.767,0.343435,0.391092
300,150,90,0.375,0.40404,100,z,4991,0.556608,0.192815,0.343735,0.341896,0.575992,0.0199236,0.03488,1.03815,1,495,645,494.853,644.767,0.343435,0.391092
300,150,90,0.375,0.40404,300,x,4991,0.196746,0.0681546,0.197631,0.196746,0.18315,-0.10925,-0.554712,0.930231,-0.00500305,495,645,494.891,644.56,0.18315,0.204902
300,150,90,0.375,0.40404,300,y,4991,0.197631,0.0684613,0.197631,0.196746,0.204902,-0.439891,-2.22551,1.03782,-0.121906,495,645,494.891,644.56,0.18315,0.204902
300,150,90,0.375,0.40404,300,z,4991,0.318158,0.110213,0.197631,0.196746,0.359226,0.145487,0.468177,1.12955,1,495,645,494.891,644.56,0.18315,0.204902
300,300,0,0.375,0.808081,30,x,3398,0.640292,0.221804,0.640292,0.654225,0.557081,-0.173089,-0.270211,0.871656,-0.172728,795,495,794.827,494.316,0.557081,0.657381
300,300,0,0.375,0.808081,30,y,3398,0.654225,0.22663,0.640292,0.654225,0.657381,-0.684273,-1.05244,1.02084,0.0487627,795,495,794.827,494.316,0.557081,0.657381
300,300,0,0.375,0.808081,30,z,3398,1.14725,0.397418,0.640292,0.654225,1.07298,-0.304581,-0.253732,0.912761,1,795,495,794.827,494.316,0.557081,0.657381
300,300,0,0.375,0.808081,100,x,3398,0.344121,0.119207,0.344121,0.350826,0.380647,-0.165523,-0.48074,1.10939,-0.148806,795,495,794.834,494.642,0.380647,0.350949
300,300,0,0.375,0.808081,100,y,3398,0.350826,0.12153,0.344121,0.350826,0.350949,-0.35807,-1.01754,0.996529,-0.0222073,795,495,794.834,494.642,0.380647,0.350949
300,300,0,0.375,0.808081,100,z,3398,0.628378,0.217677,0.344121,0.350826,0.675861,-0.0190296,-0.0317887,1.05707,1,795,495,794.834,494.642,0.380647,0.350949
300,300,0,0.375,0.808081,300,x,3398,0.199435,0.0690865,0.199435,0.203222,0.185982,-0.17914,-0.901062,0.93643,-0.15715,795,495,794.821,494.686,0.185982,0.220197
300,300,0,0.375,0.808081,300,y,3398,0.203222,0.0703981,0.199435,0.203222,0.220197,-0.313576,-1.5423,1.08406,0.0128774,795,495,794.821,494.686,0.185982,0.220197
300,300,0,0.375,0.808081,300,z,3398,0.355942,0.123302,0.199435,0.203222,0.440886,-0.11348,-0.325782,1.23398,1,795,495,794.821,494.686,0.185982,0.220197
300,300,45,0.375,0.808081,30,x,3830,0.64525,0.223521,0.641418,0.649065,0.736156,-0.343454,-0.52996,1.12341,-0.070878,707.132,707.132,706.789,706.851,0.736156,0.627647
300,300,45,0.375,0.808081,30,y,3830,0.645562,0.223629,0.641418,0.649065,0.627647,-0.281296,-0.445146,0.981454,-0.16762,707.132,707.132,706.789,706.851,0.736156,0.627647
300,300,45,0.375,0.808081,30,z,3830,1.19536,0.414085,0.641418,0.649065,1.57541,-0.112233,-0.106796,1.31919,1,707.132,707.132,706.789,706.851,0.736156,0.627647
300,300,45,0.375,0.808081,100,x,3830,0.348176,0.120612,0.348898,0.348098,0.412903,-0.294833,-0.84812,1.1905,-0.129358,707.132,707.132,706.837,706.86,0.412903,0.460484
300,300,45,0.375,0.808081,100,y,3830,0.348831,0.120839,0.348898,0.348098,0.460484,-0.271926,-0.782034,1.32432,-0.153144,707.132,707.132,706.837,706.86,0.412903,0.460484
300,300,45,0.375,0.808081,100,z,3830,0.642092,0.222427,0.348898,0.348098,0.581885,-0.240627,-0.371071,0.910515,1,707.132,707.132,706.837,706.86,0.412903,0.460484
300,300,45,0.375,0.808081,300,x,3830,0.199962,0.069269,0.200353,0.200675,0.218057,-0.235401,-1.17865,1.09017,-0.122252,707.132,707.132,706.897,706.682,0.218057,0.207778
300,300,45,0.375,0.808081,300,y,3830,0.201065,0.069651,0.200353,0.200675,0.207778,-0.449669,-2.23653,1.03599,-0.1651,707.132,707.132,706.897,706.682,0.218057,0.207778
300,300,45,0.375,0.808081,300,z,3830,0.364701,0.126336,0.200353,0.200675,0.468816,0.0726352,0.214589,1.28272,1,707.132,707.132,706.897,706.682,0.218057,0.207778
300,300,90,0.375,0.808081,30,x,3511,0.655496,0.22707,0.644094,0.655496,0.641793,-0.319263,-0.483742,0.98317,0.00254127,495,795,494.681,794.584,0.641793,0.922804
300,300,90,0.375,0.808081,30,y,3511,0.644094,0.223121,0.644094,0.655496,0.922804,-0.415943,-0.657233,1.42594,-0.181178,495,795,494.681,794.584,0.641793,0.922804
300,300,90,0.375,0.808081,30,z,3511,1.17748,0.407893,0.644094,0.655496,1.37175,-0.158339,-0.121049,1.14704,1,495,795,494.681,794.584,0.641793,0.922804
300,300,90,0.375,0.808081,100,x,3511,0.355251,0.123063,0.347406,0.355251,0.330203,-0.0860238,-0.247279,0.93714,0.00339436,495,795,494.914,794.575,0.330203,0.35665
300,300,90,0.375,0.808081,100,y,3511,0.347406,0.120345,0.347406,0.355251,0.35665,-0.42548,-1.2284,1.03844,-0.179785,495,795,494.914,794.575,0.330203,0.35665
300,300,90,0.375,0.808081,100,z,3511,0.615199,0.213111,0.347406,0.355251,0.621767,-0.232026,-0.386819,1.01392,1,495,795,494.914,794.575,0.330203,0.35665
300,300,90,0.375,0.808081,300,x,3511,0.204344,0.0707868,0.199134,0.204344,0.259066,-0.0875016,-0.430105,1.27065,0.0143743,495,795,494.912,794.445,0.259066,0.19311
300,300,90,0.375,0.808081,300,y,3511,0.199134,0.0689821,0.199134,0.204344,0.19311,-0.554508,-2.78502,0.969875,-0.172638,495,795,494.912,794.445,0.259066,0.19311
300,300,90,0.375,0.808081,300,z,3511,0.350566,0.12144,0.199134,0.204344,0.477789,-0.0224681,-0.07482,1.35327,1,495,795,494.912,794.445,0.259066,0.19311
1000,0,0,1.25,0,30,x,2564,0.838703,0.290535,0.838703,0.83645,0.613896,-0.0532796,-0.0641159,0.730023,-0.0111877,495,495,494.947,494.864,0.613896,0.844728
1000,0,0,1.25,0,30,y,2564,0.83645,0.289755,0.838703,0.83645,0.844728,-0.136348,-0.166396,1.00721,-0.00521471,495,495,494.947,494.864,0.613896,0.844728
1000,0,0,1.25,0,30,z,2564,2.1833,0.756316,0.838703,0.83645,2.36272,-0.701717,-0.335217,1.11902,1,495,495,494.947,494.864,0.613896,0.844728
1000,0,0,1.25,0,100,x,2564,0.454555,0.157462,0.454555,0.455653,0.432309,-0.120749,-0.264345,0.951258,0.0260034,495,495,494.879,494.909,0.432309,0.510108
1000,0,0,1.25,0,100,y,2564,0.455653,0.157843,0.454555,0.455653,0.510108,-0.0907005,-0.202185,1.11956,-0.0432022,495,495,494.879,494.909,0.432309,0.510108
1000,0,0,1.25,0,100,z,2564,1.18795,0.411518,0.454555,0.455653,1.2832,-0.489525,-0.410006,1.09232,1,495,495,494.879,494.909,0.432309,0.510108
1000,0,0,1.25,0,300,x,2564,0.26213,0.0908045,0.26213,0.261674,0.254337,-0.216624,-0.826234,0.970314,-0.0191123,495,495,494.783,494.76,0.254337,0.259656
1000,0,0,1.25,0,300,y,2564,0.261674,0.0906464,0.26213,0.261674,0.259656,-0.240214,-0.918164,0.992721,-0.0182843,495,495,494.783,494.76,0.254337,0.259656
1000,0,0,1.25,0,300,z,2564,0.677982,0.23486,0.26213,0.261674,0.663689,-0.577231,-0.853977,0.976662,1,495,495,494.783,494.76,0.254337,0.259656
1000,150,0,1.25,0.121212,30,x,2420,0.87955,0.304685,0.87955,0.843163,0.942305,-0.165945,-0.191337,1.08045,0.291304,645,495,644.834,494.988,0.942305,0.987528
1000,150,0,1.25,0.121212,30,y,2420,0.843163,0.29208,0.87955,0.843163,0.987528,-0.0122744,-0.0216435,1.17479,-0.0244638,645,495,644.834,494.988,0.942305,0.987528
1000,150,0,1.25,0.121212,30,z,2420,2.28203,0.790518,0.87955,0.843163,2.57106,-0.3803,-0.173744,1.107,1,645,495,644.834,494.988,0.942305,0.987528
1000,150,0,1.25,0.121212,100,x,2420,0.47296,0.163838,0.47296,0.455894,0.455296,-0.484527,-1.02522,0.958244,0.277194,645,495,644.515,494.461,0.455296,0.483288
1000,150,0,1.25,0.121212,100,y,2420,0.455894,0.157926,0.47296,0.455894,0.483288,-0.538766,-1.18094,1.0555,-0.0193948,645,495,644.515,494.461,0.455296,0.483288
1000,150,0,1.25,0.121212,100,z,2420,1.19263,0.413138,0.47296,0.455894,1.49293,-0.849205,-0.74081,1.27335,1,645,495,644.515,494.461,0.455296,0.483288
1000,150,0,1.25,0.121212,300,x,2420,0.272176,0.0942847,0.272176,0.262202,0.338686,-0.247597,-0.912452,1.24503,0.269623,645,495,644.752,494.655,0.338686,0.225168
1000,150,0,1.25,0.121212,300,y,2420,0.262202,0.0908296,0.272176,0.262202,0.225168,-0.345376,-1.31707,0.858293,-0.0072216,645,495,644.752,494.655,0.338686,0.225168
1000,150,0,1.25,0.121212,300,z,2420,0.678303,0.234971,0.272176,0.262202,0.758258,0.103749,0.149462,1.11539,1,645,495,644.752,494.655,0.338686,0.225168
1000,150,45,1.25,0.121212,30,x,2429,0.86268,0.298841,0.877975,0.838164,0.864966,-0.018406,-0.0209771,1.00292,0.224642,601.066,601.066,601.048,600.685,0.864966,0.824648
1000,150,45,1.25,0.121212,30,y,2429,0.853978,0.295827,0.877975,0.838164,0.824648,-0.381239,-0.44405,0.965981,0.200335,601.066,601.066,601.048,600.685,0.864966,0.824648
1000,150,45,1.25,0.121212,30,z,2429,2.18753,0.757781,0.877975,0.838164,2.6014,0.233304,0.12361,1.21812,1,601.066,601.066,601.048,600.685,0.864966,0.824648
1000,150,45,1.25,0.121212,100,x,2429,0.46415,0.160786,0.47034,0.455773,0.443425,-0.250664,-0.540591,0.953868,0.185788,601.066,601.066,600.815,600.627,0.443425,0.60701
1000,150,45,1.25,0.121212,100,y,2429,0.462055,0.160061,0.47034,0.455773,0.60701,-0.438778,-0.95495,1.32,0.169363,601.066,601.066,600.815,600.627,0.443425,0.60701
1000,150,45,1.25,0.121212,100,z,2429,1.18882,0.411819,0.47034,0.455773,1.39884,0.118121,0.103297,1.18813,1,601.066,601.066,600.815,600.627,0.443425,0.60701
1000,150,45,1.25,0.121212,300,x,2429,0.268135,0.0928846,0.27176,0.262598,0.278662,-0.175685,-0.656549,1.04127,0.203966,601.066,601.066,600.89,600.592,0.278662,0.229209
1000,150,45,1.25,0.121212,300,y,2429,0.266296,0.0922478,0.27176,0.262598,0.229209,-0.474516,-1.78147,0.860069,0.177619,601.066,601.066,600.89,600.592,0.278662,0.229209
