z_p,offset,phi_deg,rho,eta,axis,sigma_eff,sigma_eff_strip,target_sigma,N_required
1000,300,45,1.25,0.242424,y,6.1189,2.11965,0.3,416.011
1000,300,45,1.25,0.242424,y,6.1189,2.11965,1,37.441
1000,300,45,1.25,0.242424,z,12.1121,4.19576,0.3,1630.03
1000,300,45,1.25,0.242424,z,12.1121,4.19576,1,146.703
1000,300,90,1.25,0.242424,x,7.89794,2.73593,0.3,693.082
1000,300,90,1.25,0.242424,x,7.89794,2.73593,1,62.3774
1000,300,90,1.25,0.242424,y,6.23116,2.15854,0.3,431.414
1000,300,90,1.25,0.242424,y,6.23116,2.15854,1,38.8273
1000,300,90,1.25,0.242424,z,11.9798,4.14994,0.3,1594.63
1000,300,90,1.25,0.242424,z,11.9798,4.14994,1,143.517
3000,0,0,3.75,0,x,24.3692,8.44175,0.3,6598.45
3000,0,0,3.75,0,x,24.3692,8.44175,1,593.86
3000,0,0,3.75,0,y,17.6793,6.12428,0.3,3472.85
3000,0,0,3.75,0,y,17.6793,6.12428,1,312.557
3000,0,0,3.75,0,z,102.906,35.6475,0.3,117662
3000,0,0,3.75,0,z,102.906,35.6475,1,10589.6
3000,150,0,3.75,0.040404,x,25.1421,8.70946,0.3,7023.59
3000,150,0,3.75,0.040404,x,25.1421,8.70946,1,632.123
3000,150,0,3.75,0.040404,y,17.4125,6.03186,0.3,3368.82
3000,150,0,3.75,0.040404,y,17.4125,6.03186,1,303.194
3000,150,0,3.75,0.040404,z,101.187,35.0521,0.3,113764
3000,150,0,3.75,0.040404,z,101.187,35.0521,1,10238.8
3000,150,45,3.75,0.040404,x,24.8011,8.59137,0.3,6834.41
3000,150,45,3.75,0.040404,x,24.8011,8.59137,1,615.097
3000,150,45,3.75,0.040404,y,17.819,6.17267,0.3,3527.95
3000,150,45,3.75,0.040404,y,17.819,6.17267,1,317.516
3000,150,45,3.75,0.040404,z,101.637,35.2081,0.3,114779
3000,150,45,3.75,0.040404,z,101.637,35.2081,1,10330.1
3000,150,90,3.75,0.040404,x,24.7467,8.57252,0.3,6804.45
3000,150,90,3.75,0.040404,x,24.7467,8.57252,1,612.4
3000,150,90,3.75,0.040404,y,18.0823,6.26389,0.3,3633
3000,150,90,3.75,0.040404,y,18.0823,6.26389,1,326.97
3000,150,90,3.75,0.040404,z,99.1769,34.3559,0.3,109290
3000,150,90,3.75,0.040404,z,99.1769,34.3559,1,9836.06
3000,300,0,3.75,0.0808081,x,25.9723,8.99705,0.3,7495.09
3000,300,0,3.75,0.0808081,x,25.9723,8.99705,1,674.558
3000,300,0,3.75,0.0808081,y,17.4253,6.0363,0.3,3373.79
3000,300,0,3.75,0.0808081,y,17.4253,6.0363,1,303.641
3000,300,0,3.75,0.0808081,z,99.4891,34.464,0.3,109979
3000,300,0,3.75,0.0808081,z,99.4891,34.464,1,9898.08
3000,300,45,3.75,0.0808081,x,25.3669,8.78734,0.3,7149.76
3000,300,45,3.75,0.0808081,x,25.3669,8.78734,1,643.478
3000,300,45,3.75,0.0808081,y,18.7727,6.50304,0.3,3915.7
3000,300,45,3.75,0.0808081,y,18.7727,6.50304,1,352.413
3000,300,45,3.75,0.0808081,z,102.52,35.5139,0.3,116781
3000,300,45,3.75,0.0808081,z,102.52,35.5139,1,10510.3
3000,300,90,3.75,0.0808081,x,24.6151,8.52693,0.3,6732.27
3000,300,90,3.75,0.0808081,x,24.6151,8.52693,1,605.904
3000,300,90,3.75,0.0808081,y,20.0206,6.93535,0.3,4453.62
3000,300,90,3.75,0.0808081,y,20.0206,6.93535,1,400.826
3000,300,90,3.75,0.0808081,z,100.751,34.9011,0.3,112786
3000,300,90,3.75,0.0808081,z,100.751,34.9011,1,10150.7
